agents,cases,external_timeouts,map_name,mean_improvement_pct,mean_initial_solution_cost,mean_iterations_used,mean_normalized_cost,mean_soc,mean_sum_shortest_distances,mean_wall_time_s,method,scenario,solve_rate,solved,target_mode,time_limit
400,30,0,lak303d,0.29422371748343085,1206.7666666666667,15.733333333333333,1.0026666666666666,1203.2,1200.0,16.164886140823363,dbs_hungarian,fig3_lak303d_random,1.0,30,random,10.0
600,30,0,lak303d,0.42131868679192447,1815.6666666666667,11.866666666666667,1.0044444444444443,1808.0,1800.0,19.070234537124634,dbs_hungarian,fig3_lak303d_random,1.0,30,random,10.0
800,30,0,lak303d,0.4916551693790427,2431.1,9.733333333333333,1.0079722222222223,2419.133333333333,2400.0,22.699980346361794,dbs_hungarian,fig3_lak303d_random,1.0,30,random,10.0
200,30,0,lak303d,nan,nan,nan,1.0016111111111108,600.9666666666667,600.0,5.675793981552124,lacam_focal_h,fig3_lak303d_random,1.0,30,random,10.0
400,30,0,lak303d,nan,nan,nan,1.0061666666666667,1207.4,1200.0,9.156459832191468,lacam_focal_h,fig3_lak303d_random,1.0,30,random,10.0
600,30,0,lak303d,nan,nan,nan,1.0131666666666665,1823.7,1800.0,9.615972860654194,lacam_focal_h,fig3_lak303d_random,1.0,30,random,10.0
800,30,0,lak303d,nan,nan,nan,1.0167916666666668,2440.3,2400.0,9.786566082636515,lacam_focal_h,fig3_lak303d_random,1.0,30,random,10.0
200,30,0,ost003d,5.3379607299221,38028.666666666664,14.433333333333334,1.4733243104354936,35811.46666666667,24373.133333333335,12.464466325441997,dbs_hungarian,fig3_ost003d_hotspot,1.0,30,hotspot,10.0
400,30,0,ost003d,3.1926465397147843,89910.66666666667,11.555555555555555,1.8360291871461383,86923.4074074074,47640.48148148148,13.144280529022216,dbs_hungarian,fig3_ost003d_hotspot,0.9,27,hotspot,10.0
600,30,0,ost003d,3.0616052430185134,142746.14285714287,11.928571428571429,2.201414656952942,138528.35714285713,64037.78571428572,9.534042557080587,dbs_hungarian,fig3_ost003d_hotspot,0.4666666666666667,14,hotspot,10.0
800,30,0,ost003d,1.9421430372928115,201927.0,10.285714285714286,2.3943517180540033,197904.2857142857,85733.42857142857,6.56814591884613,dbs_hungarian,fig3_ost003d_hotspot,0.23333333333333334,7,hotspot,10.0
200,30,0,ost003d,nan,nan,nan,1.5407219350013073,37761.53333333333,24373.133333333335,9.330181670188903,lacam_focal_h,fig3_ost003d_hotspot,1.0,30,hotspot,10.0
400,30,0,ost003d,nan,nan,nan,1.8535408392811052,89459.73333333334,48138.333333333336,9.351979303359986,lacam_focal_h,fig3_ost003d_hotspot,1.0,30,hotspot,10.0
600,30,0,ost003d,nan,nan,nan,2.2513810061888297,162552.66666666666,71799.16666666667,9.312548899650574,lacam_focal_h,fig3_ost003d_hotspot,1.0,30,hotspot,10.0
800,30,0,ost003d,nan,nan,nan,2.5464562976675773,233616.8,92559.13333333333,9.313239940007527,lacam_focal_h,fig3_ost003d_hotspot,1.0,30,hotspot,10.0
200,30,0,ost003d,0.13802591380718385,601.2333333333333,34.56666666666667,1.0006666666666666,600.4,600.0,11.886148659388224,dbs_hungarian,fig3_ost003d_random,1.0,30,random,10.0
400,30,0,ost003d,0.29216383138197405,1205.9,16.566666666666666,1.001972222222222,1202.3666666666666,1200.0,14.008846433957418,dbs_hungarian,fig3_ost003d_random,1.0,30,random,10.0
600,30,0,ost003d,0.6273107478390834,1819.1,12.3,1.0042592592592592,1807.6666666666667,1800.0,15.535656929016113,dbs_hungarian,fig3_ost003d_random,1.0,30,random,10.0
800,30,0,ost003d,0.8088363841016976,2440.3333333333335,11.166666666666666,1.0085555555555554,2420.5333333333333,2400.0,18.24221432209015,dbs_hungarian,fig3_ost003d_random,1.0,30,random,10.0
200,30,0,ost003d,nan,nan,nan,1.0017777777777772,601.0666666666667,600.0,4.819738109906514,lacam_focal_h,fig3_ost003d_random,1.0,30,random,10.0
400,30,0,ost003d,nan,nan,nan,1.006527777777778,1207.8333333333333,1200.0,9.404366787274679,lacam_focal_h,fig3_ost003d_random,1.0,30,random,10.0
600,30,0,ost003d,nan,nan,nan,1.0129629629629628,1823.3333333333333,1800.0,9.5984357436498,lacam_focal_h,fig3_ost003d_random,1.0,30,random,10.0
800,30,0,ost003d,nan,nan,nan,1.0195000000000003,2446.8,2400.0,9.851618019739787,lacam_focal_h,fig3_ost003d_random,1.0,30,random,10.0
200,30,0,random-64-64-20,7.453093714243634,8374.166666666666,69.6,1.4499629461192534,7669.833333333333,5253.8,10.183979892730713,dbs_hungarian,fig3_random-64-64-20_hotspot,1.0,30,hotspot,10.0
400,30,0,random-64-64-20,4.261608187226552,18614.38888888889,39.5,1.9169781155592744,17745.333333333332,9192.5,6.396281266212464,dbs_hungarian,fig3_random-64-64-20_hotspot,0.6,18,hotspot,10.0
600,30,0,random-64-64-20,3.5952310426540284,27008.0,38.0,2.290577988915281,26037.0,11367.0,0.8709139506022135,dbs_hungarian,fig3_random-64-64-20_hotspot,0.03333333333333333,1,hotspot,10.0
800,30,0,random-64-64-20,2.3141735082575434,71405.33333333333,12.0,4.4302074855362,69691.33333333333,15704.666666666666,1.697055419286092,dbs_hungarian,fig3_random-64-64-20_hotspot,0.1,3,hotspot,10.0
200,30,0,random-64-64-20,nan,nan,nan,1.5396650227691453,8235.033333333333,5253.8,9.22208829720815,lacam_focal_h,fig3_random-64-64-20_hotspot,1.0,30,hotspot,10.0
400,30,0,random-64-64-20,nan,nan,nan,2.387182139307316,26608.166666666668,10641.3,9.241890136400858,lacam_focal_h,fig3_random-64-64-20_hotspot,1.0,30,hotspot,10.0
600,30,0,random-64-64-20,nan,nan,nan,2.7303647248050256,44837.57142857143,15845.857142857143,9.350681479771932,lacam_focal_h,fig3_random-64-64-20_hotspot,0.9333333333333333,28,hotspot,10.0
800,30,0,random-64-64-20,nan,nan,nan,4.06983423246404,85437.17391304347,20329.260869565216,9.591674574216206,lacam_focal_h,fig3_random-64-64-20_hotspot,0.7666666666666667,23,hotspot,10.0
200,30,0,random-64-64-20,2.517051353312483,632.9666666666667,115.03333333333333,1.0113608428800225,616.9,609.9666666666667,10.345895115534464,dbs_hungarian,fig3_random-64-64-20_random,1.0,30,random,10.0
400,30,0,random-64-64-20,4.275141632260422,1326.3333333333333,56.1,1.0408935655979632,1269.3333333333333,1219.4666666666667,10.44702006181081,dbs_hungarian,fig3_random-64-64-20_random,1.0,30,random,10.0
600,30,0,random-64-64-20,4.571624898697587,2111.266666666667,41.13333333333333,1.1014388820252814,2014.1666666666667,1828.6666666666667,10.794234681129456,dbs_hungarian,fig3_random-64-64-20_random,1.0,30,random,10.0
800,30,0,random-64-64-20,5.0253831709968875,3016.733333333333,37.4,1.1747115181027552,2864.1666666666665,2438.1666666666665,10.789559968312581,dbs_hungarian,fig3_random-64-64-20_random,1.0,30,random,10.0
200,30,0,random-64-64-20,nan,nan,nan,1.0293417089530168,627.8666666666667,609.9666666666667,9.811028695106506,lacam_focal_h,fig3_random-64-64-20_random,1.0,30,random,10.0
400,30,0,random-64-64-20,nan,nan,nan,1.0719209867856339,1307.1666666666667,1219.4666666666667,9.761092821756998,lacam_focal_h,fig3_random-64-64-20_random,1.0,30,random,10.0
600,30,0,random-64-64-20,nan,nan,nan,1.1235716747516256,2054.633333333333,1828.6666666666667,9.724315746625264,lacam_focal_h,fig3_random-64-64-20_random,1.0,30,random,10.0
800,30,0,random-64-64-20,nan,nan,nan,1.1857562681303229,2891.0666666666666,2438.1666666666665,9.708106072743734,lacam_focal_h,fig3_random-64-64-20_random,1.0,30,random,10.0
200,30,0,warehouse-10-20-10-2-2,6.8626577973657445,22749.4,21.3,1.43236086915057,21182.8,14801.666666666666,11.688388419151305,dbs_hungarian,fig3_warehouse-10-20-10-2-2_hotspot,1.0,30,hotspot,10.0
400,30,0,warehouse-10-20-10-2-2,3.1200913627359643,54759.148148148146,15.703703703703704,1.7885205538446949,53054.148148148146,29661.962962962964,11.145315051078796,dbs_hungarian,fig3_warehouse-10-20-10-2-2_hotspot,0.9,27,hotspot,10.0
600,30,0,warehouse-10-20-10-2-2,1.3123794498277364,98353.125,11.5,2.211880330351363,97067.375,44343.875,5.033949637413025,dbs_hungarian,fig3_warehouse-10-20-10-2-2_hotspot,0.26666666666666666,8,hotspot,10.0
800,30,0,warehouse-10-20-10-2-2,0.38416556824652454,149227.33333333334,6.75,2.9167756817791273,148656.33333333334,51010.666666666664,6.7853774150212605,dbs_hungarian,fig3_warehouse-10-20-10-2-2_hotspot,0.4,12,hotspot,10.0
200,30,0,warehouse-10-20-10-2-2,nan,nan,nan,1.5276435144094347,22615.133333333335,14801.666666666666,9.364856052398682,lacam_focal_h,fig3_warehouse-10-20-10-2-2_hotspot,1.0,30,hotspot,10.0
400,30,0,warehouse-10-20-10-2-2,nan,nan,nan,1.838957805775306,54351.933333333334,29522.166666666668,9.288936750094097,lacam_focal_h,fig3_warehouse-10-20-10-2-2_hotspot,1.0,30,hotspot,10.0
600,30,0,warehouse-10-20-10-2-2,nan,nan,nan,2.1568371780716116,94904.8,44180.9,9.306609058380127,lacam_focal_h,fig3_warehouse-10-20-10-2-2_hotspot,1.0,30,hotspot,10.0
800,30,0,warehouse-10-20-10-2-2,nan,nan,nan,2.5510103760483984,148088.3,58848.73333333333,9.40780540307363,lacam_focal_h,fig3_warehouse-10-20-10-2-2_hotspot,1.0,30,hotspot,10.0
200,30,0,warehouse-10-20-10-2-2,0.5557151043393506,617.8333333333334,58.9,1.0057205920309997,614.3666666666667,610.8666666666667,10.813683557510377,dbs_hungarian,fig3_warehouse-10-20-10-2-2_random,1.0,30,random,10.0
400,30,0,warehouse-10-20-10-2-2,0.9597432907018791,1246.2,21.033333333333335,1.0104499748779445,1234.2,1221.4333333333334,11.909519481658936,dbs_hungarian,fig3_warehouse-10-20-10-2-2_random,1.0,30,random,10.0
600,30,0,warehouse-10-20-10-2-2,0.8675422508980938,1891.6333333333334,16.1,1.023468034434893,1875.2,1832.2,14.30616774559021,dbs_hungarian,fig3_warehouse-10-20-10-2-2_random,1.0,30,random,10.0
800,30,0,warehouse-10-20-10-2-2,0.7764162916844037,2554.8,12.533333333333333,1.0381510013957445,2534.9333333333334,2441.766666666667,14.56364049911499,dbs_hungarian,fig3_warehouse-10-20-10-2-2_random,1.0,30,random,10.0
200,30,0,warehouse-10-20-10-2-2,nan,nan,nan,1.0074740115066019,615.4333333333333,610.8666666666667,8.641561857859294,lacam_focal_h,fig3_warehouse-10-20-10-2-2_random,1.0,30,random,10.0
400,30,0,warehouse-10-20-10-2-2,nan,nan,nan,1.0156689206419365,1240.5666666666666,1221.4333333333334,9.803203972180684,lacam_focal_h,fig3_warehouse-10-20-10-2-2_random,1.0,30,random,10.0
600,30,0,warehouse-10-20-10-2-2,nan,nan,nan,1.027258153013584,1882.1333333333334,1832.2,9.704342683156332,lacam_focal_h,fig3_warehouse-10-20-10-2-2_random,1.0,30,random,10.0
800,30,0,warehouse-10-20-10-2-2,nan,nan,nan,1.0372009614535502,2532.6,2441.766666666667,9.963088178634644,lacam_focal_h,fig3_warehouse-10-20-10-2-2_random,1.0,30,random,10.0
