scenario,map_name,target_mode,method,agents,seed,solved,soc,sum_shortest_distances,normalized_cost,initial_solution_cost,first_solution_cost,effective_initial_cost,improvement_pct,wall_time_s
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,24,1,2904,2441,1.1896763621466613,3020,,3020.0,3.8410596026490067,10.658782243728638
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,10,1,2878,2422,1.1882741535920727,3126,,3126.0,7.933461292386436,10.807739734649658
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,23,1,2749,2433,1.1298808055898069,3019,,3019.0,8.943358728055648,10.674538612365723
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,23,1,2858,2433,1.174681463214139,,2837,2837.0,-0.7402185407120198,9.742481470108032
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,8,1,2951,2449,1.2049816251531238,,2927,2927.0,-0.8199521694567817,9.808435916900635
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,22,1,2897,2448,1.1834150326797386,2975,,2975.0,2.6218487394957983,10.696985721588135
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,13,1,2836,2434,1.1651602300739523,,2817,2817.0,-0.6744763933262335,9.754342079162598
fig3_random-64-64-20_random,random-64-64-20,random,dbs_hungarian,800,4,1,2874,2434,1.180772391125719,2992,,2992.0,3.943850267379679,10.810579776763916
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,2,1,2910,2438,1.1936013125512714,,2898,2898.0,-0.4140786749482402,10.107754468917847
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,5,1,2939,2440,1.2045081967213114,,2925,2925.0,-0.47863247863247865,9.691182374954224
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,17,1,2891,2430,1.1897119341563787,,2882,2882.0,-0.31228313671061764,9.52415657043457
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,10,1,2912,2422,1.2023121387283238,,2891,2891.0,-0.7263922518159807,9.99907374382019
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,600,12,1,2082,1828,1.1389496717724288,,2078,2078.0,-0.19249278152069296,9.670852422714233
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,dbs_hungarian,400,2,0,,14277,nan,,,nan,nan,0.3307654857635498
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,dbs_hungarian,400,16,0,,16296,nan,,,nan,nan,0.3742513656616211
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,dbs_hungarian,400,15,0,,10994,nan,,,nan,nan,0.38184523582458496
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,dbs_hungarian,400,14,0,,10699,nan,,,nan,nan,0.4324209690093994
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,11,1,2860,2443,1.1706917724109702,,2855,2855.0,-0.17513134851138354,10.030786991119385
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,18,1,2895,2441,1.1859893486276116,,2883,2883.0,-0.4162330905306972,10.048365354537964
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,dbs_hungarian,400,20,0,,12003,nan,,,nan,nan,0.43724799156188965
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,600,23,1,2052,1826,1.1237677984665937,,2050,2050.0,-0.0975609756097561,9.798720836639404
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,dbs_hungarian,400,21,0,,12023,nan,,,nan,nan,0.3925285339355469
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,dbs_hungarian,400,22,0,,13698,nan,,,nan,nan,0.4431483745574951
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,dbs_hungarian,400,23,0,,13058,nan,,,nan,nan,0.3666985034942627
fig3_random-64-64-20_hotspot,random-64-64-20,hotspot,dbs_hungarian,400,19,0,,12497,nan,,,nan,nan,1.1993250846862793
fig3_random-64-64-20_random,random-64-64-20,random,lacam_focal_h,800,9,1,2846,2442,1.1654381654381654,,2840,2840.0,-0.2112676056338028,9.601683616638184
