method,method_label,map,scenario,agents,success_rate,n_cases
ir,IR-TAPF,maze-32-32-2,060,40,1.0,20
ir,IR-TAPF,maze-32-32-2,060,45,1.0,20
ir,IR-TAPF,maze-32-32-2,060,50,1.0,20
ir,IR-TAPF,maze-32-32-2,060,55,0.95,20
ir,IR-TAPF,maze-32-32-2,060,60,1.0,20
ir,IR-TAPF,maze-32-32-2,100,5,1.0,20
ir,IR-TAPF,maze-32-32-2,100,10,1.0,20
ir,IR-TAPF,maze-32-32-2,100,15,1.0,20
ir,IR-TAPF,maze-32-32-2,100,20,1.0,20
ir,IR-TAPF,maze-32-32-2,100,25,0.95,20
ir,IR-TAPF,maze-32-32-2,100,30,0.85,20
ir,IR-TAPF,maze-32-32-2,100,35,0.9,20
ir,IR-TAPF,maze-32-32-2,100,40,0.45,20
ir,IR-TAPF,maze-32-32-2,100,45,0.4,20
ir,IR-TAPF,maze-32-32-2,100,50,0.55,20
ir,IR-TAPF,maze-32-32-2,100,55,0.25,20
ir,IR-TAPF,maze-32-32-2,100,60,0.15,20
ir,IR-TAPF,maze-32-32-2,G,10,0.9,20
ir,IR-TAPF,maze-32-32-2,G,20,1.0,20
ir,IR-TAPF,maze-32-32-2,G,30,0.9,20
ir,IR-TAPF,maze-32-32-2,G,40,0.9,20
ir,IR-TAPF,maze-32-32-2,G,50,0.85,20
ir,IR-TAPF,maze-32-32-2,G,60,0.75,20
ir,IR-TAPF,maze-32-32-2,G,70,0.85,20
ir,IR-TAPF,maze-32-32-2,G,80,0.6,20
ir,IR-TAPF,maze-32-32-2,G,90,0.65,20
ir,IR-TAPF,maze-32-32-2,G,100,0.65,20
ir,IR-TAPF,maze-32-32-2,G,110,0.6,20
ir,IR-TAPF,maze-32-32-2,G,120,0.5,20
ir,IR-TAPF,maze-32-32-2,G,130,0.6,20
ir,IR-TAPF,maze-32-32-2,G,140,0.6,20
ir,IR-TAPF,maze-32-32-2,G,150,0.55,20
ir,IR-TAPF,maze-32-32-2,G,160,0.65,20
ir,IR-TAPF,maze-32-32-2,G,170,0.45,20
ir,IR-TAPF,maze-32-32-2,G,180,0.6,20
ir,IR-TAPF,maze-32-32-2,G,190,0.55,20
ir,IR-TAPF,maze-32-32-2,G,200,0.5,20
ir,IR-TAPF,orz900d,000,15,1.0,20
ir,IR-TAPF,orz900d,000,20,1.0,20
ir,IR-TAPF,orz900d,000,25,1.0,20
ir,IR-TAPF,orz900d,000,30,0.3,20
ir,IR-TAPF,orz900d,000,35,0.0,20
ir,IR-TAPF,orz900d,000,40,0.0,20
ir,IR-TAPF,orz900d,000,45,0.0,20
ir,IR-TAPF,orz900d,000,50,0.0,20
ir,IR-TAPF,orz900d,000,55,0.0,20
ir,IR-TAPF,orz900d,000,60,0.0,20
ir,IR-TAPF,orz900d,030,15,1.0,20
ir,IR-TAPF,orz900d,030,20,1.0,20
ir,IR-TAPF,orz900d,030,25,1.0,20
ir,IR-TAPF,orz900d,030,30,1.0,20
ir,IR-TAPF,orz900d,030,35,0.45,20
ir,IR-TAPF,orz900d,030,40,0.0,20
ir,IR-TAPF,orz900d,030,45,0.0,20
ir,IR-TAPF,orz900d,030,50,0.0,20
ir,IR-TAPF,orz900d,030,55,0.0,20
ir,IR-TAPF,orz900d,030,60,0.0,20
ir,IR-TAPF,orz900d,060,15,1.0,20
ir,IR-TAPF,orz900d,060,20,1.0,20
