anytime,anytime_cost_updates,assignment_calls,assignment_changes,assignment_time_ms,case_id,collision_free,constraint_failures,constraints_generated,constraints_popped,exit_code,external_timed_out,final_agent_assignment_changes,final_assignment_changes,first_solution_cost,first_solution_time_ms,fixture_file,focal_tie_break,focal_weight,force_full_assignment,goal_valid,hl_duplicate_configs,hl_loop_iterations,hl_nodes_created,hl_nodes_explored,hl_reinsertions,incumbent_updates,makespan,map_file,matrix_file,method,moves_valid,num_agents,num_unique_tasks,open_max_size,pibt_calls,pibt_failures,pibt_recursions,runtime_ms,search_mode,search_mode_arg,seed,soc,solution_cost,solution_depth,solution_parent_edge_cost,solved,solver,start_valid,stderr,suite,sum_of_loss,swap_applied,swap_checks,time_limit,timed_out,unique_goal_assignment,valid_instance,valid_solution,wall_time_s
1,1,12827,8,1689.7,Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_9,1,1860,58414,14686,0,0,22,8,5455,27,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_9.yaml,h,1.5,0,1,0,14687,12827,12827,0,1,140,,,lacam_focal_h,1,160,,12826,1973474,1041,215430,9161,focal,focal,9,6681,5455,140,5455,1,lacam_tapf,1,,exp1,5456,120123,1973474,10.0,0,1,1,1,9.3221275806427
1,1,12336,9,1532.99,Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_7,1,0,38124,12343,0,0,20,9,6249,36,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_7.yaml,h,1.5,0,1,8,12344,12336,12336,0,1,121,,,lacam_focal_h,1,160,,12335,1883461,33,249360,9171,focal,focal,7,7611,6249,121,6249,1,lacam_tapf,1,,exp1,6249,24830,1883461,10.0,0,1,1,1,9.331088304519653
1,1,12141,17,2073.25,Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_10,1,0,40143,12140,0,0,48,17,6780,34,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_10.yaml,h,1.5,0,1,0,12141,12141,12141,0,1,147,,,lacam_focal_h,1,160,,12140,1843596,29,321251,9163,focal,focal,10,8550,6780,147,6780,1,lacam_tapf,1,,exp1,6815,60372,1843596,10.0,0,1,1,1,9.321911573410034
1,1,8458,4103,1961.16,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_14,1,4020,56962,12491,0,0,54,20,9886,58,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_14.yaml,h,1.5,0,1,14,12492,8458,8458,0,1,265,,,lacam_focal_h,1,170,,8457,1639383,8081,328384,9064,focal,focal,14,12369,9886,265,9886,1,lacam_tapf,1,,exp1,9958,107191,1639383,10.0,0,1,1,1,9.185120582580566
1,1,4030,7,89.0307,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_11,1,104878,365663,110272,0,0,22,7,9714,79,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_11.yaml,h,1.5,0,1,1365,110284,4030,4030,0,1,426,,,lacam_dfs,1,170,,427,875730,74,2793,9044,dfs,dfs,11,12787,9714,426,9714,1,lacam_tapf,1,,exp1,9798,821,875730,10.0,0,1,1,1,9.190854549407959
1,1,11931,4,1885.98,Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_12,1,1820,44366,13759,0,0,10,4,7262,49,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_12.yaml,h,1.5,0,1,9,13760,11931,11931,0,1,191,,,lacam_focal_h,1,160,,11930,1922236,85129,293776,9137,focal,focal,12,9143,7262,191,7262,1,lacam_tapf,1,,exp1,7262,102727,1922236,10.0,0,1,1,1,9.302047967910767
1,1,11166,233,2107.22,Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_13,1,0,55561,11165,0,0,22,9,5841,27,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_13.yaml,h,1.5,0,1,0,11166,11166,11166,0,1,109,,,lacam_focal_h,1,160,,11165,1702683,5661,394268,9150,focal,focal,13,6965,5841,109,5841,1,lacam_tapf,1,,exp1,5913,55569,1702683,10.0,0,1,1,1,9.300274133682251
1,1,8575,14,1766.43,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_3,1,11480,75076,20055,0,0,37,14,7216,39,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_3.yaml,h,1.5,0,1,1,20056,8575,8575,0,1,170,,,lacam_focal_h,1,170,,8575,2245545,27141,610898,9096,focal,focal,3,9174,7216,170,7216,1,lacam_tapf,1,,exp1,7226,67347,2245545,10.0,0,1,1,1,9.220327615737915
1,1,9642,9,1552.36,Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_7,1,8284,81557,17926,0,0,25,9,8610,64,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_170_test_7.yaml,h,1.5,0,1,1,17927,9642,9642,0,1,307,,,lacam_focal_h,1,170,,9641,2268878,17489,428442,9067,focal,focal,7,11012,8610,307,8610,1,lacam_tapf,1,,exp1,8649,148572,2268878,10.0,0,1,1,1,9.207579135894775
1,1,13447,5,1754.5,Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_6,1,0,45159,13448,0,0,14,5,6282,25,/media/project0/yimin/lacam_tapf_itacbs_data/Paper_symbotic_39_37_gp_5/symbotic_agents_160_test_6.yaml,h,1.5,0,1,2,13449,13447,13447,0,1,142,,,lacam_focal_h,1,160,,13446,2024847,26630,278322,9180,focal,focal,6,7087,6282,142,6282,1,lacam_tapf,1,,exp1,6283,80163,2024847,10.0,0,1,1,1,9.34114122390747
